id;marca;nombre;tamano;concentracion;genero;categoria;precio_crc
1503;Acqua Di Parma;Blu Mediterraneo Bergamotto Di Calabria;150 ml;EDT;Unisex;Niche;
1504;Acqua Di Parma;Blu Mediterraneo Fico Di Amalfi;150 ml;;Unisex;Niche;
1135;Acqua Di Parma;Blue Mediterraneo Arancia Di Capri;75 ml;EDT;Unisex;Niche;
1505;Acqua Di Parma;Colonia;180 ml;Cologne;Men;Niche;
1506;Acqua Di Parma;Lily Of The Valley;100 ml;EDP;Unisex;Niche;
1627;Afnan;9 PM;100 ml;EDP;Lady;Arabic;
1628;Afnan;9am Dive;100 ml;EDP;Men;Arabic;
25;Afnan;9PM;;;;Arabic;40000
1630;Afnan;9PM Elixir Intense;100 ml;Parfum;Unisex;Arabic;
1631;Afnan;Highness IV;100 ml;EDP;Unisex;Arabic;
1632;Afnan;Highness IX;100 ml;EDP;Unisex;Arabic;
1633;Afnan;Highness V Black;100 ml;EDP;Lady;Arabic;
1634;Afnan;Highness VI Blue;100 ml;EDP;Men;Arabic;
1635;Afnan;Highness X Brown;100 ml;EDP;Men;Arabic;
1636;Afnan;Historic Doria;100 ml;EDP;Unisex;Arabic;
1637;Afnan;Historic Olmeda;100 ml;;Unisex;Arabic;
1638;Afnan;La Fleur Bouquet;80 ml;EDP;Lady;Arabic;
1639;Afnan;Noya Oud Is Great;100 ml;Extrait de Parfum;Unisex;Arabic;
1640;Afnan;Ornament;100 ml;EDP;Lady;Arabic;
1641;Afnan;Ornament Purple Allure;100 ml;EDP;Lady;Arabic;
1642;Afnan;Rose Tiffany;100 ml;EDP;Lady;Arabic;
1643;Afnan;Souvenir Desert Rose;100 ml;EDP;Lady;Arabic;
1644;Afnan;Souvenir Floral Bouquet;100 ml;EDP;Lady;Arabic;
1652;Afnan;Supremacy;100 ml;EDP;Men;Arabic;
1650;Afnan;Supremacy (pink);100 ml;EDP;Lady;Arabic;
1651;Afnan;Supremacy (purple);100 ml;EDP;Lady;Arabic;
1646;Afnan;Supremacy Gold;100 ml;EDP;Lady;Arabic;
1647;Afnan;Supremacy In Heaven;100 ml;EDP;Men;Arabic;
1645;Afnan;Supremacy In Oud;100 ml;Extrait de Parfum;Men;Arabic;
1648;Afnan;Supremacy Noir;100 ml;EDP;Men;Arabic;
1649;Afnan;Supremacy Not Only Intense;100 ml;EDP;Men;Arabic;
1653;Afnan;Supremacy Silver;150 ml;EDP;Men;Arabic;
24;Ajmal;Dahn Al Oudh;;;;Arabic;60000
1507;Al Haramain;Amber Musk;100 ml;EDP;Unisex;Arabic;
1508;Al Haramain;Amber Oud Bleu;100 ml;;;Arabic;
1509;Al Haramain;Amber Oud Bleu Edition;200 ml;EDP;Unisex;Arabic;
1510;Al Haramain;Amber Oud Carbon;100 ml;;;Arabic;
1511;Al Haramain;Amber Oud Exclusif Bleu;60 ml;Extrait de Parfum;Unisex;Arabic;
1512;Al Haramain;Amber Oud Exclusif Classic;60 ml;Extrait de Parfum;Unisex;Arabic;
1513;Al Haramain;Amber Oud Exclusif Emerald;60 ml;Extrait de Parfum;Unisex;Arabic;
1514;Al Haramain;Amber Oud Exclusif Sport;60 ml;Extrait de Parfum;Unisex;Arabic;
1516;Al Haramain;Amber Oud Gold Edition;60 ml;EDP;Unisex;Arabic;
1515;Al Haramain;Amber Oud Gold Edition;200 ml;EDP;Unisex;Arabic;
1517;Al Haramain;Amber Oud Rouge;60 ml;EDP;Unisex;Arabic;
1518;Al Haramain;Amber Oud Ruby Edition;120 ml;EDP;Unisex;Arabic;
1519;Al Haramain;Amber Oud Tobacco Edition;60 ml;EDP;Unisex;Arabic;
1520;Al Haramain;Amber Oud White;100 ml;;Unisex;Arabic;
19;Amouage;Reflection Man;;;;Niche;165000
1125;Antonio Banderas;Blue Seduction;80 ml;EDT;Lady;Designer;
1124;Antonio Banderas;Blue Seduction;100 ml;EDT;Men;Designer;
1126;Antonio Banderas;Diavolo For;100 ml;EDT;Men;Designer;
1127;Antonio Banderas;Her Golden Secret;80 ml;EDT;Lady;Designer;
1128;Antonio Banderas;Her Secret Desire;80 ml;EDT;Lady;Designer;
1129;Antonio Banderas;Icon;100 ml;EDP;Men;Designer;
1130;Antonio Banderas;King Of Seduction;100 ml;EDT;Men;Designer;
1131;Antonio Banderas;King Of Seduction;200 ml;EDT;Men;Designer;
1132;Antonio Banderas;Select Diavolo Club For;100 ml;;Men;Designer;
1133;Antonio Banderas;The Icon;100 ml;EDP;Lady;Designer;
1134;Antonio Banderas;The Secret;100 ml;EDT;Men;Designer;
27;Arabian Oud;Blue Oud;;;;Arabic;65000
1136;Ariana Grande;Ari;100 ml;EDP;Lady;Designer;
1137;Ariana Grande;Cloud 2.0 Intense;100 ml;EDP;Lady;Designer;
1138;Ariana Grande;God Is A;100 ml;EDP;Lady;Designer;
1139;Ariana Grande;Mood Blush;100 ml;EDP;;Designer;
1140;Ariana Grande;Mood Vanilla;100 ml;EDP;Lady;Designer;
1141;Ariana Grande;Moonlight;100 ml;EDP;Lady;Designer;
1142;Ariana Grande;REM;100 ml;EDP;Lady;Designer;
1143;Ariana Grande;Sweet Like Candy;100 ml;EDP;Lady;Designer;
1379;Armaf;Club De Nuit;105 ml;EDT;Men;Arabic;
1378;Armaf;Club De Nuit;200 ml;EDP;Lady;Arabic;
1377;Armaf;Club De Nuit Clasico;30 ml;EDP;Lady;Arabic;
1382;Armaf;Club De Nuit Iconic;30 ml;EDP;Men;Arabic;
1380;Armaf;Club De Nuit Iconic;105 ml;EDP;Men;Arabic;
1381;Armaf;Club De Nuit Iconic;200 ml;EDP;Men;Arabic;
1383;Armaf;Club De Nuit Imperiale;105 ml;EDP;Lady;Arabic;
1384;Armaf;Club De Nuit Imperiale;200 ml;EDP;Lady;Arabic;
1396;Armaf;Club De Nuit Intense;75 g;Deodorant;;Arabic;
1398;Armaf;Club De Nuit Intense;100 g;Hair Styling;;Arabic;
1389;Armaf;Club De Nuit Intense;30 ml;EDP;Men;Arabic;
1395;Armaf;Club De Nuit Intense;30 ml;EDP;Men;Arabic;
1397;Armaf;Club De Nuit Intense;55 ml;Hair Mist;;Arabic;
1390;Armaf;Club De Nuit Intense;70 ml;Extrait de Parfum;Men;Arabic;
1385;Armaf;Club De Nuit Intense;105 ml;;Men;Arabic;
1387;Armaf;Club De Nuit Intense;105 ml;EDP;Lady;Arabic;
1399;Armaf;Club De Nuit Intense;150 ml;Parfum;Men;Arabic;
1388;Armaf;Club De Nuit Intense;200 ml;EDP;Men;Arabic;
1386;Armaf;Club De Nuit Intense Concetrated Oil;18 ml;;Men;Arabic;
1391;Armaf;Club De Nuit Intense Extreme;105 ml;Parfum;Men;Arabic;
1393;Armaf;Club De Nuit Intense Limited Edition;105 ml;EDP;Men;Arabic;
1392;Armaf;Club De Nuit Intense Limited Edition Collectors Pride;105 ml;Parfum;Men;Arabic;
1394;Armaf;Club De Nuit Intense Limited Edtion 2024;105 ml;Parfum;Men;Arabic;
26;Armaf;Club de Nuit Intense Man;;;;Arabic;48000
1400;Armaf;Club De Nuit Lionheart;100 ml;EDP;Lady;Arabic;
1401;Armaf;Club De Nuit Lionheart;100 ml;EDP;Men;Arabic;
1402;Armaf;Club De Nuit Maleka;105 ml;EDP;Lady;Arabic;
1405;Armaf;Club De Nuit Milestone;30 ml;EDP;Men;Arabic;
1403;Armaf;Club De Nuit Milestone;105 ml;EDP;Men;Arabic;
1404;Armaf;Club De Nuit Milestone;200 ml;EDP;Men;Arabic;
1406;Armaf;Club De Nuit Milestone Concetrated Oil;18 ml;EDP;Men;Arabic;
1407;Armaf;Club De Nuit Oud;105 ml;Parfum;Unisex;Arabic;
1408;Armaf;Club De Nuit Precieux I;55 ml;Extrait de Parfum;Men;Arabic;
1409;Armaf;Club De Nuit Precieux IV;55 ml;Extrait de Parfum;Lady;Arabic;
1410;Armaf;Club De Nuit Private Key To My Love;100 ml;EDP;Unisex;Arabic;
1413;Armaf;Club De Nuit Sillage;30 ml;EDP;Men;Arabic;
1412;Armaf;Club De Nuit Sillage;105 ml;EDP;Men;Arabic;
1411;Armaf;Club De Nuit Sillage Concetrated Oil;18 ml;;Men;Arabic;
1416;Armaf;Club De Nuit Untold;30 ml;EDP;Unisex;Arabic;
1414;Armaf;Club De Nuit Untold;105 ml;EDP;Unisex;Arabic;
1415;Armaf;Club De Nuit Untold;200 ml;EDP;Unisex;Arabic;
1417;Armaf;Club De Nuit Urban;105 ml;EDP;Men;Arabic;
1418;Armaf;Club De Nuit Urban Elixir;105 ml;EDP;Men;Arabic;
1447;Armaf;Odyssey;80 ml;EDP;Lady;Arabic;
